,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary
0,Roseanne Liang,Chloë Grace Moretz,Taylor John Smith,Beulah Koale,Horror Action War,shadow in the cloud,Chloë Grace Moretz Taylor John Smith Beulah Koale Roseanne Liang Horror Action War
1,Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas,Crime Drama,the white tiger,Adarsh Gourav Rajkummar Rao Priyanka Chopra Jonas Ramin Bahrani Crime Drama
2,Doug Liman,Anne Hathaway,Chiwetel Ejiofor,Stephen Merchant,Comedy Crime Drama,locked down,Anne Hathaway Chiwetel Ejiofor Stephen Merchant Doug Liman Comedy Crime Drama
3,Simon Stone,Carey Mulligan,Ralph Fiennes,Lily James,Drama History,the dig,Carey Mulligan Ralph Fiennes Lily James Simon Stone Drama History
4,Mikael Håfström,Anthony Mackie,Damson Idris,Emily Beecham,Thriller Action Science Fiction,outside the wire,Anthony Mackie Damson Idris Emily Beecham Mikael Håfström Thriller Action Science Fiction
5,"Robert Lorenz (director/screenpaly); Chris Charles, Danny Kravitz (screenplay); Liam Neeson, Katheryn Winnick, Juan Pablo Raba, Teresa Ruiz",Liam Neeson,Katheryn Winnick,Juan Pablo Raba,Action Thriller Crime,the marksman,"Liam Neeson Katheryn Winnick Juan Pablo Raba Robert Lorenz (director/screenpaly); Chris Charles, Danny Kravitz (screenplay); Liam Neeson, Katheryn Winnick, Juan Pablo Raba, Teresa Ruiz Action Thriller Crime"
6,Nate Parker,Nate Parker,Omari Hardwick,Theo Rossi,Drama,american skin,Nate Parker Omari Hardwick Theo Rossi Nate Parker Drama
7,Alex McAulay,Jack Dylan Grazer,Fionn Whitehead,Rainn Wilson,Drama Thriller Crime,don't tell a soul,Jack Dylan Grazer Fionn Whitehead Rainn Wilson Alex McAulay Drama Thriller Crime
8,Gabriela Cowperthwaite,Jason Segel,Dakota Johnson,Casey Affleck,Drama Comedy Romance,our friend,Jason Segel Dakota Johnson Casey Affleck Gabriela Cowperthwaite Drama Comedy Romance
9,Conor Allyn,Jake Allyn,Frank Grillo,Jorge A. Jiménez,Western Action Adventure Thriller,no man's land,Jake Allyn Frank Grillo Jorge A. Jiménez Conor Allyn Western Action Adventure Thriller
10,Alex Ranarivelo,Sean Patrick Flanery,Dennis Quaid,Katrina Bowden,Action Drama,born a champion,Sean Patrick Flanery Dennis Quaid Katrina Bowden Alex Ranarivelo Action Drama
11,Mike P. Nelson,Charlotte Vega,Adain Bradley,Bill Sage,Horror Thriller,wrong turn,Charlotte Vega Adain Bradley Bill Sage Mike P. Nelson Horror Thriller
12,Glenda Ivin,Naomi Watts,Andrew Lincoln,Jacki Weaver,Drama,penguin bloom,Naomi Watts Andrew Lincoln Jacki Weaver Glenda Ivin Drama
13,John Lee Hancock,Denzel Washington,Rami Malek,Jared Leto,Thriller Crime,the little things,Denzel Washington Rami Malek Jared Leto John Lee Hancock Thriller Crime
14,Jude Weng,Kea Peahu,Alex Aiono,Lindsay Watson,Action Adventure Comedy Family,finding 'ohana,Kea Peahu Alex Aiono Lindsay Watson Jude Weng Action Adventure Comedy Family
15,Chloé Zhao,Frances McDormand,David Strathairn,Linda May,Drama,nomadland,Frances McDormand David Strathairn Linda May Chloé Zhao Drama
17,Fisher Stevens,Justin Timberlake,Juno Temple,Alisha Wainwright,Drama,palmer,Justin Timberlake Juno Temple Alisha Wainwright Fisher Stevens Drama
18,Viggo Mortensen,Viggo Mortensen,Lance Henriksen,Terry Chen,Thriller Action,falling,Viggo Mortensen Lance Henriksen Terry Chen Viggo Mortensen Thriller Action
20,Chad Hartigan,Olivia Cooke,Jack O'Connell,Raúl Castillo,Romance Science Fiction Drama,little fish,Olivia Cooke Jack O'Connell Raúl Castillo Chad Hartigan Romance Science Fiction Drama
21,Barry Alexander Brown,Lucas Till,Lucy Hale,Cedric the Entertainer,History Drama,son of the south,Lucas Till Lucy Hale Cedric the Entertainer Barry Alexander Brown History Drama
22,Ben Hozie,Julia Fox,Nikki Belfiglio,Austin Brown,Drama,pvt chat,Julia Fox Nikki Belfiglio Austin Brown Ben Hozie Drama
23,Sia,Kate Hudson,Leslie Odom Jr.,Maddie Ziegler,Music Drama,music,Kate Hudson Leslie Odom Jr. Maddie Ziegler Sia Music Drama
24,Shaka King,Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons,Drama History,judas and the black messiah,Daniel Kaluuya Lakeith Stanfield Jesse Plemons Shaka King Drama History
25,Kevin Macdonald,Jodie Foster,Tahar Rahim,Shailene Woodley,Drama Thriller,the mauritanian,Jodie Foster Tahar Rahim Shailene Woodley Kevin Macdonald Drama Thriller
26,Tate Taylor,Allison Janney,Mila Kunis,Awkwafina,Comedy Drama Crime Thriller,breaking news in yuba county,Allison Janney Mila Kunis Awkwafina Tate Taylor Comedy Drama Crime Thriller
27,Josh Greenbaum,Kristen Wiig,Annie Mumolo,Jamie Dornan,Comedy,barb and star go to vista del mar,Kristen Wiig Annie Mumolo Jamie Dornan Josh Greenbaum Comedy
28,Lee Isaac Chung,Steven Yeun,Han Ye-ri,Alan Kim,Drama,minari,Steven Yeun Han Ye-ri Alan Kim Lee Isaac Chung Drama
29,Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Romance Comedy Drama,to all the boys: always and forever,Lana Condor Noah Centineo Jordan Fisher Michael Fimognari Romance Comedy Drama
30,Mona Fastvold,Katherine Waterston,Vanessa Kirby,Christopher Abbott,Drama Romance Western,the world to come,Katherine Waterston Vanessa Kirby Christopher Abbott Mona Fastvold Drama Romance Western
31,Azazel Jacobs,Michelle Pfeiffer,Lucas Hedges,Tracy Letts,Comedy Drama,french exit,Michelle Pfeiffer Lucas Hedges Tracy Letts Azazel Jacobs Comedy Drama
32,Robin Wright,Robin Wright,Demián Bichir,Kim Dickens,Drama,land,Robin Wright Demián Bichir Kim Dickens Robin Wright Drama
33,Kevin Lewis,Nicolas Cage,Emily Tosta,Ric Reitz,Action Horror Comedy,willy's wonderland,Nicolas Cage Emily Tosta Ric Reitz Kevin Lewis Action Horror Comedy
34,Ian Samuels,Kathryn Newton,Kyle Allen,Al Madrigal,Fantasy Romance,the map of tiny perfect things,Kathryn Newton Kyle Allen Al Madrigal Ian Samuels Fantasy Romance
35,Castille Landon,Katherine Heigl,Madison Iseman,Israel Broussard,Thriller Horror Drama,fear of rain,Katherine Heigl Madison Iseman Israel Broussard Castille Landon Thriller Horror Drama
36,J Blakeson,Rosamund Pike,Peter Dinklage,Eiza González,Comedy Crime Thriller,i care a lot,Rosamund Pike Peter Dinklage Eiza González J Blakeson Comedy Crime Thriller
37,Lena Khan,Matilda Lawler,Alyson Hannigan,Ben Schwartz,Family Adventure Comedy Fantasy,flora & ulysses,Matilda Lawler Alyson Hannigan Ben Schwartz Lena Khan Family Adventure Comedy Fantasy
38,Tiller Russell,Jason Clarke,Nick Robinson,Katie Aselton,Crime Thriller Drama,silk road,Jason Clarke Nick Robinson Katie Aselton Tiller Russell Crime Thriller Drama
39,Tim Story,Chloë Grace Moretz,Michael Peña,Colin Jost,Comedy Family Animation,tom & jerry,Chloë Grace Moretz Michael Peña Colin Jost Tim Story Comedy Family Animation
40,Lee Daniels,Andra Day,Trevante Rhodes,Garrett Hedlund,Music Drama History,the united states vs. billie holiday,Andra Day Trevante Rhodes Garrett Hedlund Lee Daniels Music Drama History
41,Anthony and Joe Russo,Tom Holland,Ciara Bravo,Jack Reynor,Crime Drama,cherry,Tom Holland Ciara Bravo Jack Reynor Anthony and Joe Russo Crime Drama
42,Nicholas Jarecki,Gary Oldman,Armie Hammer,Evangeline Lilly,Thriller Crime Drama,crisis,Gary Oldman Armie Hammer Evangeline Lilly Nicholas Jarecki Thriller Crime Drama
43,R. J. Cutler,Billie Eilish,Finneas O'Connell,Maggie Baird,Documentary Music,billie eilish: the world's a little blurry,Billie Eilish Finneas O'Connell Maggie Baird R. J. Cutler Documentary Music
44,Keith Thomas,Dave Davis,Menashe Lustig,Malky Goldman,Horror Thriller Mystery,the vigil,Dave Davis Menashe Lustig Malky Goldman Keith Thomas Horror Thriller Mystery
45,Amy Poehler,Hadley Robinson,Lauren Tsai,Patrick Schwarzenegger,Comedy Drama Music,moxie,Hadley Robinson Lauren Tsai Patrick Schwarzenegger Amy Poehler Comedy Drama Music
46,Craig Brewer,Eddie Murphy,Arsenio Hall,Jermaine Fowler,Comedy,coming 2 america,Eddie Murphy Arsenio Hall Jermaine Fowler Craig Brewer Comedy
47,Tim Hill,Tom Kenny,Awkwafina,Matt Berry,Family Animation Fantasy Adventure Comedy,the spongebob movie: sponge on the run,Tom Kenny Awkwafina Matt Berry Tim Hill Family Animation Fantasy Adventure Comedy
48,"Don Hall, Carlos López Estrada",Kelly Marie Tran,Awkwafina,Izaac Wang,Family Fantasy Animation Action Adventure,raya and the last dragon,"Kelly Marie Tran Awkwafina Izaac Wang Don Hall, Carlos López Estrada Family Fantasy Animation Action Adventure"
49,Doug Liman,Daisy Ridley,Tom Holland,Mads Mikkelsen,Science Fiction,chaos walking,Daisy Ridley Tom Holland Mads Mikkelsen Doug Liman Science Fiction
50,Joe Carnahan,Frank Grillo,Mel Gibson,Naomi Watts,Action Science Fiction Thriller,boss level,Frank Grillo Mel Gibson Naomi Watts Joe Carnahan Action Science Fiction Thriller
51,Eddie Huang,Taylor Takahashi,Taylour Paige,Jorge Lendeborg Jr.,Drama Comedy,boogie,Taylor Takahashi Taylour Paige Jorge Lendeborg Jr. Eddie Huang Drama Comedy
52,Miguel Arteta,Jennifer Garner,Édgar Ramírez,Jenna Ortega,Comedy Family,yes day,Jennifer Garner Édgar Ramírez Jenna Ortega Miguel Arteta Comedy Family
53,Steve Basilone,Finn Wittrock,Zoë Chao,Casey Wilson,Romance Comedy,long weekend,Finn Wittrock Zoë Chao Casey Wilson Steve Basilone Romance Comedy
54,Edward Drake,Bruce Willis,Frank Grillo,Brandon Thomas Lee,Science Fiction,cosmic sin,Bruce Willis Frank Grillo Brandon Thomas Lee Edward Drake Science Fiction
55,Brian DeCubellis,Victoria Justice,Matthew Daddario,Katherine McNamara,Crime Thriller Comedy Mystery,trust,Victoria Justice Matthew Daddario Katherine McNamara Brian DeCubellis Crime Thriller Comedy Mystery
56,Zack Snyder,Ben Affleck,Henry Cavill,Amy Adams,Action Adventure Fantasy Science Fiction,zack snyder's justice league,Ben Affleck Henry Cavill Amy Adams Zack Snyder Action Adventure Fantasy Science Fiction
57,Dominic Cooke,Benedict Cumberbatch,Merab Ninidze,Rachel Brosnahan,Thriller Drama History,the courier,Benedict Cumberbatch Merab Ninidze Rachel Brosnahan Dominic Cooke Thriller Drama History
58,BenDavid Grabinski,Joel McHale,Kerry Bishé,Stephen Root,Comedy Romance Thriller,happily,Joel McHale Kerry Bishé Stephen Root BenDavid Grabinski Comedy Romance Thriller
59,Ilya Naishuller,Bob Odenkirk,Connie Nielsen,Aleksei Serebryakov,Action Crime Thriller Drama,nobody,Bob Odenkirk Connie Nielsen Aleksei Serebryakov Ilya Naishuller Action Crime Thriller Drama
60,Kitao Sakurai,Eric André,Lil Rel Howery,Tiffany Haddish,Comedy,bad trip,Eric André Lil Rel Howery Tiffany Haddish Kitao Sakurai Comedy
61,Justin P. Lange,Guy Pearce,Vadhir Derbez,Stephen Lang,Horror,the seventh day,Guy Pearce Vadhir Derbez Stephen Lang Justin P. Lange Horror
62,Giorgio Serafini,William Shatner,Jean Smart,Christopher Lloyd,Comedy Romance,senior moment,William Shatner Jean Smart Christopher Lloyd Giorgio Serafini Comedy Romance
63,Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall,Action Adventure Fantasy,godzilla vs. kong,Alexander Skarsgård Millie Bobby Brown Rebecca Hall Adam Wingard Action Adventure Fantasy
64,Ricky Staub,Idris Elba,Caleb McLaughlin,Jharrel Jerome,Drama Western,concrete cowboy,Idris Elba Caleb McLaughlin Jharrel Jerome Ricky Staub Drama Western
65,Evan Spiliotopoulos,Jeffrey Dean Morgan,Katie Aselton,William Sadler,Horror,the unholy,Jeffrey Dean Morgan Katie Aselton William Sadler Evan Spiliotopoulos Horror
66,Vaughn Stein,Casey Affleck,Sam Claflin,Veronica Ferres,Thriller,every breath you take,Casey Affleck Sam Claflin Veronica Ferres Vaughn Stein Thriller
67,Emma Seligman,Rachel Sennott,Molly Gordon,Polly Draper,Comedy Drama,shiva baby,Rachel Sennott Molly Gordon Polly Draper Emma Seligman Comedy Drama
68,Richard Correll,Mira Sorvino,Austyn Johnson,Kevin Sorbo,Family Drama,the girl who believes in miracles,Mira Sorvino Austyn Johnson Kevin Sorbo Richard Correll Family Drama
69,Shan Serafin,Aidan Bristow,Sophie Kargman,Susan Wilder,Drama,the believer,Aidan Bristow Sophie Kargman Susan Wilder Shan Serafin Drama
70,Bruce Wemple,Francesca Anderson,Adrián Burke,Chris Cimperman,Horror Thriller,dawn of the beast,Francesca Anderson Adrián Burke Chris Cimperman Bruce Wemple Horror Thriller
71,Neil Burger,Tye Sheridan,Lily-Rose Depp,Fionn Whitehead,Science Fiction Thriller,voyagers,Tye Sheridan Lily-Rose Depp Fionn Whitehead Neil Burger Science Fiction Thriller
72,Ben Falcone,Melissa McCarthy,Octavia Spencer,Bobby Cannavale,Action Adventure Comedy,thunder force,Melissa McCarthy Octavia Spencer Bobby Cannavale Ben Falcone Action Adventure Comedy
73,Ryan Crego,Michael J. Woodard,Mary Lambert,Haley Tju,Animation Comedy Family,arlo the alligator boy,Michael J. Woodard Mary Lambert Haley Tju Ryan Crego Animation Comedy Family
74,Argyris Papadimitropoulos,Sebastian Stan,Denise Gough,Yorgos Pirpassopoulos,Science Fiction Thriller Drama Mystery,monday,Sebastian Stan Denise Gough Yorgos Pirpassopoulos Argyris Papadimitropoulos Science Fiction Thriller Drama Mystery
75,Ben Wheatley,Joel Fry,Reece Shearsmith,Hayley Squires,Horror Science Fiction Thriller,in the earth,Joel Fry Reece Shearsmith Hayley Squires Ben Wheatley Horror Science Fiction Thriller
76,Joe Penna,Anna Kendrick,Daniel Dae Kim,Shamier Anderson,Science Fiction Drama Thriller,stowaway,Anna Kendrick Daniel Dae Kim Shamier Anderson Joe Penna Science Fiction Drama Thriller
77,Simon McQuoid,Lewis Tan,Jessica McNamee,Josh Lawson,Action Fantasy Adventure,mortal kombat,Lewis Tan Jessica McNamee Josh Lawson Simon McQuoid Action Fantasy Adventure
78,Mike Rianda,Abbi Jacobson,Danny McBride,Maya Rudolph,Animation Adventure Comedy Family Science Fiction Action,the mitchells vs. the machines,Abbi Jacobson Danny McBride Maya Rudolph Mike Rianda Animation Adventure Comedy Family Science Fiction Action
80,Nikole Beckwith,Ed Helms,Patti Harrison,Tig Notaro,Comedy Drama,together together,Ed Helms Patti Harrison Tig Notaro Nikole Beckwith Comedy Drama
82,Chad Ferrin,Gina La Piana,Robert Miano,Johann Urb,Horror Science Fiction,the deep ones,Gina La Piana Robert Miano Johann Urb Chad Ferrin Horror Science Fiction
83,Shari Springer Berman and Robert Pulcini,Amanda Seyfried,James Norton,Natalia Dyer,Horror Mystery Drama Thriller,things heard & seen,Amanda Seyfried James Norton Natalia Dyer Shari Springer Berman and Robert Pulcini Horror Mystery Drama Thriller
84,Stefano Sollima,Michael B. Jordan,Jamie Bell,Jodie Turner-Smith,Action Thriller War,without remorse,Michael B. Jordan Jamie Bell Jodie Turner-Smith Stefano Sollima Action Thriller War
85,Nick Stagliano,James C. Wolf (screeplay); Anson Mount,Abbie Cornish,Eddie Marsan,Thriller Action Crime,the virtuoso,James C. Wolf (screeplay); Anson Mount Abbie Cornish Eddie Marsan Nick Stagliano Thriller Action Crime
86,Rodrigo García,Glenn Close,Mila Kunis,Stephen Root,Drama,four good days,Glenn Close Mila Kunis Stephen Root Rodrigo García Drama
87,William Brent Bell,Rupert Friend,Mamie Gummer,Violet McGraw,Horror,separation,Rupert Friend Mamie Gummer Violet McGraw William Brent Bell Horror
88,Taylor Chien,Brock O'Hurn,Avery Pascual,Michael Vlamis,Horror,the resort,Brock O'Hurn Avery Pascual Michael Vlamis Taylor Chien Horror
89,Guy Ritchie,Jason Statham,Holt McCallany,Jeffrey Donovan,Action Crime Thriller,wrath of man,Jason Statham Holt McCallany Jeffrey Donovan Guy Ritchie Action Crime Thriller
90,Anthony Mandler,Kelvin Harrison Jr.,Jennifer Ehle,Tim Blake Nelson,Action Fantasy Adventure,monster,Kelvin Harrison Jr. Jennifer Ehle Tim Blake Nelson Anthony Mandler Action Fantasy Adventure
91,Gia Coppola,Andrew Garfield,Maya Hawke,Nat Wolff,Drama Comedy,mainstream,Andrew Garfield Maya Hawke Nat Wolff Gia Coppola Drama Comedy
92,David Oyelowo,David Oyelowo,Rosario Dawson,Lonnie Chavis,Adventure,the water man,David Oyelowo Rosario Dawson Lonnie Chavis David Oyelowo Adventure
93,Billy Crystal,Billy Crystal,Tiffany Haddish,Penn Badgley,Comedy Drama,here today,Billy Crystal Tiffany Haddish Penn Badgley Billy Crystal Comedy Drama
94,Phillip Noyce,Jack Huston,Emilia Clarke,Thora Birch,Thriller Crime,above suspicion,Jack Huston Emilia Clarke Thora Birch Phillip Noyce Thriller Crime
95,Ivo Raza,David Koechner,Ed Begley Jr.,Chaz Bono,Comedy,reboot camp,David Koechner Ed Begley Jr. Chaz Bono Ivo Raza Comedy
96,Karl Holt,Karl Holt,Claire Cartwright,David Wayman,Horror Comedy,benny loves you,Karl Holt Claire Cartwright David Wayman Karl Holt Horror Comedy
97,Alexandre Aja,Mélanie Laurent,Mathieu Amalric,Malik Zidi,Crime Drama Mystery Thriller,oxygen,Mélanie Laurent Mathieu Amalric Malik Zidi Alexandre Aja Crime Drama Mystery Thriller
98,Zack Snyder,Dave Bautista,Ella Purnell,Omari Hardwick,Action Adventure Horror Crime,army of the dead,Dave Bautista Ella Purnell Omari Hardwick Zack Snyder Action Adventure Horror Crime
99,Taylor Sheridan,Angelina Jolie,Nicholas Hoult,Finn Little,Thriller,those who wish me dead,Angelina Jolie Nicholas Hoult Finn Little Taylor Sheridan Thriller
100,Joe Wright,Amy Adams,Gary Oldman,Anthony Mackie,Drama Thriller Crime Mystery,the woman in the window,Amy Adams Gary Oldman Anthony Mackie Joe Wright Drama Thriller Crime Mystery
101,Darren Lynn Bousman,Chris Rock,Max Minghella,Marisol Nichols,Horror Thriller Mystery,spiral,Chris Rock Max Minghella Marisol Nichols Darren Lynn Bousman Horror Thriller Mystery
102,Christoph Waltz,Christoph Waltz,Vanessa Redgrave,Annette Bening,Crime Drama,georgetown,Christoph Waltz Vanessa Redgrave Annette Bening Christoph Waltz Crime Drama
103,Brian Baugh,Rose Reid,Jedidiah Goodacre,Katherine McNamara,Drama Romance,finding you,Rose Reid Jedidiah Goodacre Katherine McNamara Brian Baugh Drama Romance
104,Robert Machoian,Clayne Crawford,Sepideh Moafi,Chris Coy,Drama,the killing of two lovers,Clayne Crawford Sepideh Moafi Chris Coy Robert Machoian Drama
105,"Mark S. Allen, Dante Yore",John Littlefield,Eric Roberts,Alyson Gorske,Horror Action,616 wilford lane,"John Littlefield Eric Roberts Alyson Gorske Mark S. Allen, Dante Yore Horror Action"
106,Euros Lyn,Toni Collette,Damian Lewis,Owen Teale,Comedy Drama,dream horse,Toni Collette Damian Lewis Owen Teale Euros Lyn Comedy Drama
107,Esteban Arango,Moisés Arias,Mateo Arias,Daniel Dae Kim,Drama,blast beat,Moisés Arias Mateo Arias Daniel Dae Kim Esteban Arango Drama
108,John Krasinski,Emily Blunt,Cillian Murphy,Millicent Simmonds,Science Fiction Thriller Horror,a quiet place part ii,Emily Blunt Cillian Murphy Millicent Simmonds John Krasinski Science Fiction Thriller Horror
109,Craig Gillespie,Emma Stone,Emma Thompson,Joel Fry,Comedy Crime,cruella,Emma Stone Emma Thompson Joel Fry Craig Gillespie Comedy Crime
111,Michael Barnett,Mack Beggs,Sarah Rose Huckman,Terry Miller,Documentary,changing the game,Mack Beggs Sarah Rose Huckman Terry Miller Michael Barnett Documentary
112,"Elaine Bogan, Ennio Torresan",Isabela Merced,Marsai Martin,Mckenna Grace,Animation Adventure Family Western,spirit untamed,"Isabela Merced Marsai Martin Mckenna Grace Elaine Bogan, Ennio Torresan Animation Adventure Family Western"
